TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Boston Celtics,9,5,4,432,101.4,103,-1.5,60.1,1.45,16.1,22.9,78.3,51.4,14.7,49.1,53.9,100.61,50.2,906
Brooklyn Nets,5,1,4,240,105.7,115.9,-10.2,50,1.35,13.8,25.8,64.3,44.1,13.5,48,53.4,105.5,41.3,527
Denver Nuggets,14,7,7,692,113.3,111.1,2.2,60.1,2.45,17.6,31.1,70.3,50.5,10.2,49.6,53.9,93.68,51.8,"1,349"
Detroit Pistons,4,0,4,192,96.8,120.5,-23.8,61.3,2.19,16.5,24.8,72.7,45.2,10.4,44.4,47.1,101.13,35.4,405
Golden State Warriors,22,14,8,1066,114.6,111.5,3.1,69.1,1.91,20,30.1,71.4,51.3,15,54.8,58.9,98.57,53.6,"2,192"
Houston Rockets,11,6,5,533,110.5,107.4,3,49.1,1.16,14.1,28.7,68.7,49.1,16.1,53.7,57.4,97.26,49.7,"1,081"
Indiana Pacers,4,0,4,192,95.8,103.9,-8.1,61.9,1.73,16.4,19.6,73.7,45.1,12.5,46.1,49.6,95.63,45.4,383
LA Clippers,6,2,4,288,111.5,120.5,-9,63.6,1.69,17.7,29.3,71.4,49,14.6,51.1,56.3,103.08,43.1,617
Milwaukee Bucks,15,10,5,730,110.7,101.9,8.8,62.8,1.92,17.8,25.9,77.6,52.6,12.8,52.3,56,100.57,55.5,"1,528"
Oklahoma City Thunder,5,1,4,240,104.4,109.9,-5.5,59.8,1.49,16.6,26.4,70.1,48.2,15.1,50,54.1,100.9,48.2,504
Orlando Magic,5,1,4,240,95.8,111.5,-15.7,59,1.22,14.7,26,79.6,50.5,16.3,45.1,49.6,95.7,39.9,480
Philadelphia 76ers,12,7,5,576,109.1,106,3.1,61.9,1.48,17.5,31.9,75.2,54.1,16.6,51.4,55.9,99.63,53.8,"1,195"
Portland Trail Blazers,16,8,8,793,109.5,110.6,-1.1,50.1,1.53,14.6,29.8,69.1,49.1,12.9,50.1,54.1,97.15,47.1,"1,603"
San Antonio Spurs,7,3,4,336,110.7,113.1,-2.3,53.6,2.51,16.6,26.4,72.6,49.9,9,50.3,54.2,93.14,49.3,653
Toronto Raptors,24,16,8,1162,109.8,104.2,5.6,59.8,1.87,17.2,23.9,71.9,48.3,12.4,51.5,56.1,96.25,52.4,"2,330"
Utah Jazz,5,1,4,240,99.2,108.5,-9.3,66.5,1.51,16.7,30.5,74.2,51.6,15.4,45.5,50.1,98.6,47.3,493
