TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,
Atlanta Hawks,82,44,38,"3,971",104,103.4,0,65.1,2,18.8,25,70.1,48,15.7,52,54.6,94,51,"7,744",
Boston Celtics,81,41,40,3968,102.2,103,-1,61,2,17.9,25,69,48,15.4,50,54.2,92,51,"7,652",
Brooklyn Nets,82,49,33,"3,971",107,104.8,2,56.7,1,16,34,70.1,52,16,50,54,90,50.9,"7,433",
Charlotte Bobcats,82,21,61,3961,100.4,110.3,-10,56,1,15.3,31,68,49,15.1,46,50.7,92,43.8,"7,632",
Chicago Bulls,82,45,37,"3,966",102,102,1,64.5,2,18,33,70,51,15.7,47,51,90,51,"7,460",
Cleveland Cavaliers,82,24,58,3946,103.2,108.2,-5,56.6,1,15.9,33,69.5,50,15,47,51.4,93,45,"7,666",
Dallas Mavericks,82,41,41,"3,996",105,105,-1,60,2,17.7,26,69.8,48,14.4,51,54.4,95,50,"7,917",
Denver Nuggets,82,57,25,3981,109.3,104.2,5.1,60,1.6,17.8,35,68,51,15.7,52,54.9,96,54,"7,960",
Detroit Pistons,82,29,53,"3,961",103,107,-5,59,1,17,32,69.5,51,16,49,52,92,46.7,"7,571",
Golden State Warriors,82,47,35,3961,105.1,104.2,0.9,58.9,1.49,17.1,28.5,71.2,51,16,51,54.5,96,50.2,"7,893",
Houston Rockets,82,45,37,"3,956",109,105,4,61,1,17,31,71,51,16.9,53,56.4,97,51,"7,988",
Indiana Pacers,81,49,32,3918,103.4,99,4.4,57.8,1.34,16,33.6,70.1,52.2,16.5,48,52.1,91,54,"7,420",
Los Angeles Clippers,82,56,26,"3,946",110,103,7,62,2,18,32,70,51,16,53,55.7,92,54.8,"7,552",
Los Angeles Lakers,82,45,37,3951,107,105.9,1.1,59.8,1.48,16.8,30.9,70.2,51,15.7,51.2,54.8,95,51,"7,830",
Memphis Grizzlies,82,56,26,"3,961",104,99,5,58,2,17,34,70,52,16,47,51,90,53.1,"7,394",
Miami Heat,82,66,16,3976,111.4,103.2,8.2,60,1.65,18.4,26.4,67.8,48.5,15.1,55.2,58.8,91.26,56.4,"7,572",
Milwaukee Bucks,82,38,44,3966,102.5,104.2,-2,60,2,17,32,68,49,15,48,51,96,49,"7,909",
Minnesota Timberwolves,82,31,51,3946,101.8,104,-2,62,2,17,31,70,50,16,47,52,94,49,"7,712",
New Orleans Hornets,82,27,55,3956,104.5,108.9,-4.4,58,1,17,33,71,51,16,49,53,90,46,"7,379",
New York Knicks,82,54,28,3946,109.8,105.4,4.5,52.7,2,16,29,71,49,13,52,55,91,51,"7,462",
Oklahoma City Thunder,82,60,22,3966,111,101.2,9.9,56.1,1.4,17,29,70,51,16,53,58,95,57,"7,808",
Orlando Magic,82,20,62,3956,100.9,108.4,-7.4,60.5,1.57,17.6,29,71,50,16,49,51,93,46,"7,646",
Philadelphia 76ers,82,34,48,3951,101,104.7,-3.7,61,1.74,17.7,29.1,70,49,14,48,51,92,47,"7,566",
Phoenix Suns,82,25,57,3961,100.2,106.9,-6.7,60.6,1.45,17.1,30.8,68.7,49,16,48,51,94,46,"7,793",
Portland Trail Blazers,82,33,49,3971,104.5,107.9,-3.4,59.3,1.48,17,29.4,70.2,49.5,16,50,54,92,47,"7,649",
Sacramento Kings,82,28,54,3966,105.3,110,-4.7,55.3,1.42,16,30.6,67.3,48.5,15.4,49.1,53,95,45,"7,804",
San Antonio Spurs,82,58,24,3976,107,100.3,6.7,64.1,1.71,19.1,24.3,71.5,49.3,15.3,53.1,56.8,95,55,"7,892",
Toronto Raptors,82,34,48,3996,105,106.4,-1.4,59.2,1.57,16.9,29.6,68.8,49,14.8,48.8,53.2,91.26,48,"7,591",
Utah Jazz,82,43,39,3976,105.4,105.6,-0.2,61,1.54,17.4,32.9,69.7,51,15.9,49.2,53.3,92.05,50.4,"7,629",
Washington Wizards,82,29,53,3971,99.3,101.6,-2.3,61,1.43,16.9,27.9,70.6,49.1,16.1,47.5,51.2,93.23,48.1,"7,699",
