TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Atlanta Hawks,82,44,38,3946,105.1,106,-1,60.7,2,17.7,27,71,49,15.1,50,54,90,49,"7,410"
Boston Celtics,82,56,26,3956,105.5,100,6,64,2,18.8,26,71,50,15.9,52,56.1,91,55.8,"7,500"
Charlotte Bobcats,82,34,48,3961,102.8,107,-4,60.1,1,17,30,71,50,16,48,53,90,48,"7,444"
Chicago Bulls,82,62,20,3966,107.2,100,8,60,2,17,33,72,53,15,50,54.1,91,55.5,"7,542"
Cleveland Cavaliers,82,19,63,3951,101.5,111,-10,60,1,16,28,70,49,15.1,47,52,94,44.1,"7,715"
Dallas Mavericks,82,57,25,3941,108.4,104.1,4.4,63.7,2,18.7,28,71,50,15,53,56.5,92,53.8,"7,581"
Denver Nuggets,82,50,32,3941,111.7,106.8,5,58,2,17,28,72,51,15,53,57.4,96,52,"7,888"
Detroit Pistons,82,30,52,3976,107,110.7,-3.7,56.6,1.62,16.8,32,68,49,14,50,53,90,46.4,"7,428"
Golden State Warriors,82,36,46,3966,107.1,109.4,-2.3,56.8,1.54,17,30,66,48,15,51,54,96,47,"7,916"
Houston Rockets,82,43,39,3976,110.2,107.9,2.3,61.7,2,18,32,69,50,14.1,50,55,95,51.5,"7,880"
Indiana Pacers,82,37,45,3956,104.1,105,-0.9,53.6,1,15,30,70,50,16,49,53,96,49,"7,864"
Los Angeles Clippers,82,32,50,3971,104.8,108,-3.2,60.1,1.35,16.9,33,69.2,51.1,17.4,50,54,93,48.3,"7,718"
Los Angeles Lakers,82,57,25,3966,109.6,103.3,6.3,57.6,1.68,17,33,69,51,14,50,55,92,54,"7,594"
Memphis Grizzlies,82,46,36,3976,107,104.5,2.5,52.8,1.48,16,33.3,68.2,50.5,15,49.3,53.4,92,52,"7,656"
Miami Heat,82,58,24,3956,110.6,102.9,7.8,54.1,1.44,16.1,29,72,51,15,52,57,92,55.6,"7,564"
Milwaukee Bucks,82,35,47,3966,100.8,101.5,-0.8,54.9,1.4,15.3,28.7,71,49.2,14.8,46.7,51.1,90.57,48.8,"7,477"
Minnesota Timberwolves,82,17,65,3956,103.2,109.9,-6.7,53.4,1.18,15,33.6,70,51,17,48,53,97,44,"8,034"
New Jersey Nets,82,24,58,4001,102.1,108.9,-6.8,59,1.5,16.6,30.4,70,50,15,47,52,91,45,"7,563"
New Orleans Hornets,82,46,36,3966,105.4,104.4,1,57.4,1.58,16.8,28.9,72,50,15,49,54,89,51,"7,387"
New York Knicks,82,42,40,3956,109.9,109,1,56,1.56,16.4,27.3,68,47,14,51,56,96,50,"7,945"
Oklahoma City Thunder,82,55,27,4001,109.9,105.9,3.9,54.5,1.45,15.8,30.6,70,51,15,50,56,94,53,"7,824"
Orlando Magic,82,52,30,3966,107.4,101.8,5.6,55.3,1.34,15.9,30.4,72,52,16,52,55,92,53,"7,575"
Philadelphia 76ers,82,41,41,3986,105.3,103.8,1.5,59.6,1.75,17.6,27.8,71.4,50,14,49,54,93,51,"7,709"
Phoenix Suns,82,40,42,4001,108.6,109.4,-0.8,60.4,1.66,17.9,27.5,68.1,48,15,52,56,95,49,"7,930"
Portland Trail Blazers,82,48,34,3961,107.3,105.7,1.6,58.8,1.62,16.9,33.1,68.2,49.9,15,49,53,89,52,"7,359"
Sacramento Kings,82,24,58,3971,102.9,108.4,-5.5,53.4,1.27,15.4,33.4,70.2,51.2,16.7,48,52,96,46,"7,923"
San Antonio Spurs,82,61,21,3956,110.5,104.4,6.1,58.3,1.67,17.5,27.6,71.1,50,14.3,52.7,57,93,54,"7,691"
Toronto Raptors,82,22,60,3956,105.2,111.7,-6.5,57.1,1.49,16.8,31.4,68.5,49.5,15.6,49.1,53.3,93.78,46,"7,723"
Utah Jazz,82,39,43,3976,107,108.8,-1.8,62.7,1.63,18,31.4,67.9,49.6,15.4,49.8,54.4,92.03,50,"7,619"
Washington Wizards,82,23,59,3986,101.3,109.1,-7.8,52.2,1.27,14.9,31.7,67.1,48.8,16,47.1,51.3,94.76,44.5,"7,871"
