TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Atlanta Hawks,66,40,26,3233,104.2,100.4,3.8,61,2,17.6,28,70.3,49,15,50,53.5,91,52.6,"6,117"
Boston Celtics,66,39,27,3188,100.1,97.5,2.6,67,2,18.8,25,68.6,48,16,50,53.5,91,53.5,"6,055"
Charlotte Bobcats,66,7,59,3178,94.4,109.4,-15,61,1,16,29,67.8,47,16,44,48.3,92,41,"6,080"
Chicago Bulls,66,50,16,3188,106.3,97.5,8.8,62,2,18,36,70.3,54,15,49,52.3,90,56.1,"5,982"
Cleveland Cavaliers,66,21,45,3193,100,107.6,-7.6,58,1,15.4,32,68,50,17,46,51,92,44,"6,140"
Dallas Mavericks,66,36,30,3213,102.1,100.9,1.1,58,1,17,27,71,49,15,49,53,93,51,"6,195"
Denver Nuggets,66,38,28,3208,108.3,105.1,3.2,62,2,18,32,71,52,16,52,55.6,95,53,"6,346"
Detroit Pistons,66,25,41,3193,100,105,-5,53.8,1.19,15.1,32,68.9,50,17,47,51,90,44.8,"6,000"
Golden State Warriors,66,23,43,3183,103.9,107.3,-3.4,59.1,2,17,26,66,46,15,51,54,94,47.2,"6,212"
Houston Rockets,66,34,32,3213,104.2,104,0.2,56.4,1.47,16.4,30.9,69.2,50,15,49,53,93,50,"6,215"
Indiana Pacers,66,42,24,3198,105.5,102.1,3.3,52.2,1.33,14.7,33.3,68.9,51.1,15,47,53,92,52,"6,115"
Los Angeles Clippers,66,40,26,3193,107.5,104.8,2.7,56.8,1.58,16.6,33,69,51,15,50,53.3,90,51.7,"5,989"
Los Angeles Lakers,66,41,25,3213,104.5,103.2,1.3,61.1,1.49,17.3,33,72,53,16,49,53.4,92,52,"6,145"
Memphis Grizzlies,66,41,25,3188,102.8,100.6,2.2,53.2,1.35,15.4,33.5,68.8,50.8,15.7,47.3,51.5,92,51,"6,099"
Miami Heat,66,46,20,3208,105.6,99.2,6.4,53.8,1.31,15.9,29.9,69,50,16,51,55,92,55,"6,154"
Milwaukee Bucks,66,31,35,3173,104.5,104.1,0.4,62,1.67,17.6,31.4,67.5,49,14.8,48.1,52.1,94.68,50.3,"6,256"
Minnesota Timberwolves,66,26,40,3188,103.1,105.3,-2.2,54.8,1.29,15.1,31.1,69.3,50,16,48,52,94,48,"6,268"
New Jersey Nets,66,22,44,3178,101.8,108.1,-6.3,58,1.32,15.8,31.4,67.7,49,17,47,52,91,45,"6,036"
New Orleans Hornets,66,21,45,3188,99.9,103.9,-4,59.5,1.34,16.8,31,69.6,51,17,48,52,89,48,"5,924"
New York Knicks,66,36,30,3188,103.5,100.2,3.2,56.2,1.26,15.6,30.9,70.2,50,17,49,53,94,52,"6,242"
Oklahoma City Thunder,66,47,19,3198,108.4,102.1,6.3,49.7,1.13,14.6,30.4,68.7,51,17,52,57,94,54,"6,273"
Orlando Magic,66,37,29,3193,104,103.4,0.6,58.1,1.34,16.1,30.6,72,51,17,51,53,90,49,"5,978"
Philadelphia 76ers,66,35,31,3183,102.7,98.2,4.6,58.8,1.97,17.5,27.7,71.2,50,12,48,51,91,53,"6,016"
Phoenix Suns,66,33,33,3168,105.2,105.2,-0.1,59.6,1.6,17.4,29.4,68.7,49.3,15,50,54,94,50,"6,173"
Portland Trail Blazers,66,28,38,3193,104.4,105.3,-0.9,56.2,1.44,16.1,30.3,69.1,49.3,15,49,53,92,49,"6,143"
Sacramento Kings,66,22,44,3183,102.9,108.7,-5.8,51,1.34,14.7,32.1,67,48.7,15,47,51,96,45,"6,333"
San Antonio Spurs,66,50,16,3188,110,102.3,7.7,58.5,1.71,17.8,28.2,72,50.7,14.4,52.8,56.2,94,55,"6,220"
Toronto Raptors,66,23,43,3193,99.6,103.6,-3.9,60.9,1.38,16.8,29.4,70.8,50.3,16.7,47.5,51.8,90,48,"6,008"
Utah Jazz,66,36,30,3233,105.5,104.9,0.5,57,1.54,16.6,34,70.3,51.9,15,48.1,52.5,92.53,50.9,"6,236"
Washington Wizards,66,20,46,3173,100,104.9,-5,52.3,1.25,15.1,30.8,67.8,48.9,16.3,47.2,50.8,93.59,46,"6,182"
