TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Atlanta Hawks,18,10,8,864,108.8,110.5,-1.8,51.9,1.63,15.5,25.6,71.1,48.6,12.7,51.6,55.4,97.61,48.3,"1,759"
Boston Celtics,5,1,4,240,115.9,128,-12.1,54.7,1.62,15.5,35.5,69.9,51.3,13.4,50.8,56,96.6,43.9,484
Brooklyn Nets,12,7,5,581,115.9,109.3,6.6,55.5,1.95,17.3,24.2,69.8,48.4,11.9,55.1,59.2,96.29,53.9,"1,165"
Dallas Mavericks,7,3,4,336,114.2,119.7,-5.5,52.9,1.88,16.2,29,75.3,50.3,11.8,53.4,55.9,92.86,44.8,650
Denver Nuggets,10,4,6,490,116.8,122.1,-5.3,59.1,2.22,18,29.5,73.8,50.1,11.4,53.6,56.6,96.39,46.9,983
LA Clippers,19,10,9,912,119.2,114.5,4.8,53.2,1.95,16.6,24.7,71.9,49.2,11.4,56.2,60.4,93.76,53.4,"1,778"
Los Angeles Lakers,6,2,4,288,102.6,109.3,-6.7,56.3,1.4,15,27.7,78.1,51.7,14.6,47.3,52,95.08,44.2,570
Memphis Grizzlies,5,1,4,240,115,123.4,-8.4,49.8,2.12,16.2,27.9,72.9,48.9,10.4,52.3,55.6,100,45.9,500
Miami Heat,4,0,4,197,95.4,115,-19.7,61,1.54,15.8,21.2,66.4,43,13.6,46.2,49.9,100.26,38.9,411
Milwaukee Bucks,23,16,7,1114,112.2,106.8,5.3,54.2,1.79,16.7,31,76.5,53.1,13,52.4,55,97.51,53.1,"2,262"
New York Knicks,5,1,4,240,102.1,109.7,-7.6,54.1,1.52,14.4,28.9,78.1,52.1,12.8,45.8,50.5,94.9,44.8,475
Philadelphia 76ers,12,7,5,576,115.6,107.5,8.1,58.6,1.94,18.1,26,73.4,50.5,12.8,56.1,58.9,100.88,55.2,"1,207"
Phoenix Suns,22,14,8,1056,113.2,109,4.2,56.8,1.95,17.9,23.4,72.5,49.4,12.4,54.7,58.5,96.09,53.6,"2,118"
Portland Trail Blazers,6,2,4,298,122.1,122.9,-0.7,54.4,1.93,17.1,27.7,68,48.4,12.1,56.7,60.8,94.79,48.4,587
Utah Jazz,11,6,5,528,120.1,121.7,-1.6,49.4,1.46,15.1,28.3,73.5,51.2,13.8,57.9,61.6,97.05,48.5,"1,071"
Washington Wizards,5,1,4,240,107,121.1,-14.1,55.2,1.67,16,29,71.7,49.6,13,49.8,54.3,102.6,42.6,514
