TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Atlanta Hawks,82,37,45,"3,971",106,107,-2,61,1,17,33,68,51,16,48,53.5,92,50,"7,634"
Boston Celtics,82,66,16,3951,109,98,11,61,1,18,31,70.7,52,16.4,52,57,92,58.1,"7,575"
Charlotte Bobcats,82,32,50,3976,103.7,108,-5,59,1,17,29,67,48,16,49,53.2,93,47,"7,678"
Chicago Bulls,82,33,49,"3,961",103,106,-3,60.6,2,16.7,33,68.7,50,15,47,51.5,94,48,"7,754"
Cleveland Cavaliers,82,45,37,"3,971",105,105,-1,55.8,1,16,33,72,52,15.2,48,52,91,49,"7,540"
Dallas Mavericks,82,51,31,3946,109.5,104.7,4.8,56.9,2,17,30,71.6,51,13.8,50,55.4,91,53.6,"7,518"
Denver Nuggets,82,50,32,"3,971",109,106,3,61,2,18,29,69,49,14,51,55.7,101,53,"8,330"
Detroit Pistons,82,59,23,3946,109.8,101.5,8.3,61.1,1.92,17.8,33,70,51,13.1,50,53.9,89,55,"7,279"
Golden State Warriors,82,48,34,3956,110,109,2,54,2,16,30,67.2,48,13.1,51,55,100,49.6,"8,249"
Houston Rockets,82,55,27,3946,105.4,100.5,4.8,58.5,1.56,16.8,32.3,71.1,52,15,49,53,91,53.5,"7,525"
Indiana Pacers,82,36,46,3951,105.1,106,-1,60,2,17,28,70,49,15.2,50,54,99,49,"8,111"
Los Angeles Clippers,82,23,59,3961,99.9,107.4,-7.5,61.4,1.47,16.7,26.7,70.3,48.4,15.3,47,51.9,93,46.1,"7,698"
Los Angeles Lakers,82,57,25,3956,111.7,104.3,7,62,2,18,30,70,51,15,53,57,97,55.1,"7,974"
Memphis Grizzlies,82,22,60,3961,103.9,110.2,-6.3,51.4,1.26,14.9,27.7,70.6,48.9,15.7,50,53.9,96,45.1,"7,945"
Miami Heat,82,15,67,3966,99.4,108.8,-9.4,59,1,16,26,68,47,16,48,52,91,44.5,"7,538"
Milwaukee Bucks,82,26,56,3971,103.9,111.1,-7.2,58.2,1.45,16.5,33.2,69.4,50.6,15.8,48.2,52.2,92.61,45.2,"7,654"
Minnesota Timberwolves,82,22,60,3946,102.7,110,-7.3,53,1,16,31,70,50,16,48,52,93,44,"7,632"
New Jersey Nets,82,34,48,3966,102.3,107.7,-5.4,67.4,2,18,30,71,50,16,48,53,93,48,"7,679"
New Orleans Hornets,82,56,26,3961,110,104.4,5.6,56.4,2,17,30,72,51,13,51,55,91,53,"7,517"
New York Knicks,82,23,59,3976,103.5,110.4,-6.8,51.6,1.29,15,32,70,50,16,48,52,93,44,"7,676"
Orlando Magic,82,52,30,3956,110.4,104.9,5.6,55.8,1.45,16,27,71,50,15,54,58,94,53,"7,757"
Philadelphia 76ers,82,40,42,3951,105.1,104.7,0.5,54.7,1.43,15.9,35,69,52,16,48,52,92,50,"7,536"
Phoenix Suns,82,55,27,3956,112,107,5,64.5,1.85,19.7,25.3,67.4,48,15,55,59,98,56,"8,058"
Portland Trail Blazers,82,41,41,3981,105.9,106.8,-0.8,59,1.64,17,30.3,68.4,50,14,49,53,89,50,"7,381"
Sacramento Kings,82,38,44,3966,106.2,108.6,-2.4,51.5,1.19,14.9,29,68.9,49.3,16.6,50,56,96,48,"7,920"
San Antonio Spurs,82,56,26,3946,106,100.7,5.3,58.5,1.66,17.1,26.8,73.3,50.3,14,50,54,90,53,"7,377"
Seattle SuperSonics,82,20,62,3966,99.6,108.3,-8.6,55.9,1.33,15.9,30.5,70,50.2,16.3,46.7,51,97,45,"8,030"
Toronto Raptors,82,41,41,3966,108.9,105.6,3.3,62,2.04,18.7,26.9,70.9,48.9,12.7,51.1,55.1,91,52,"7,543"
Utah Jazz,82,54,28,3941,112.1,104.9,7.2,66,1.8,19.6,32.7,71,52.1,15.4,52.8,57.3,94.64,56,"7,773"
Washington Wizards,82,43,39,3981,107.6,107.9,-0.3,53.8,1.49,15.6,32,69.5,50.3,14.4,48.9,53.5,90.85,48.8,"7,533"
