TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Atlanta Hawks,11,4,7,528,104,111,-7,48,1,14,34,67,49.5,14,45.3,50,87,45,951
Boston Celtics,24,15,9,"1,157",104,101,3,62,2,17,28.2,71,50,15,49.1,54,90,54,"2,168"
Charlotte Bobcats,4,0,4,192,100.3,110,-9.6,65,1,17,30,71,50.7,18,47.7,52,85.75,45,341
Chicago Bulls,5,1,4,240,103,112,-9,50,2,15,28,76,50.4,11,46,50,94.4,44,471
Cleveland Cavaliers,11,6,5,528,106.8,105.4,1.4,60,1,17,25,72,49,16,51.7,57,93.82,52,"1,032"
Dallas Mavericks,6,2,4,288,103.3,104.7,-1.3,54.4,1,15,32,72,52,15,47,52,90,50,539
Denver Nuggets,6,2,4,288,112.3,114,-1,51,1,15,30.7,73,51.1,14,51.7,58,97,48,584
Los Angeles Lakers,23,16,7,1104,111.3,107,4,53,2,16,34.7,68,52,14,50,55,90.85,52,"2,089"
Miami Heat,5,1,4,240,96.7,105.3,-8.6,52.4,0.99,14.6,29,75,51,20,47.9,51,90.8,40,453
Milwaukee Bucks,7,3,4,336,103.4,107.9,-4,48,1,14,33,64,48,14,47,51,87,46,609
Oklahoma City Thunder,6,2,4,288,102.7,104,-1.3,52.7,1.29,13.2,30.6,68.2,49,14,43,51,91.58,49,548
Orlando Magic,14,10,4,677,110,100.7,9.4,51,1,15,29,72,51,16,53.3,57,86.92,56,"1,229"
Phoenix Suns,16,10,6,768,116.9,111.9,5,54.8,1.66,16.5,32.5,68,50.6,13.7,53.6,58,91.63,52,"1,466"
Portland Trail Blazers,6,2,4,288,105.9,117.9,-12,59.1,2,16,32,64,47,13,47,52,87.75,45,527
San Antonio Spurs,10,4,6,480,104.8,108,-3.2,52.7,1.51,15.7,26.6,69.5,48.4,13.8,49.4,53.3,91.9,49,917
Utah Jazz,10,4,6,480,112.1,114.5,-2.3,62.5,1.8,18,30,67,49,14,52,57,96,49,955
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
