TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,
Atlanta Hawks,82,35,47,"3,981",100.4,104,-3.8,59,1.23,16,30,68.1,50,17.8,48,52.7,93,48.3,"7,683",
Boston Celtics,82,44,38,"3,966",100,101,-0.6,58,1.37,16,27,69.1,47,15,47,51,92,48,"7,602",
Chicago Bulls,82,30,52,3985,99.1,104,-5.1,60,1,17,30.7,67,49,18,47,51.2,95,46,"7,857",
Cleveland Cavaliers,82,17,65,"3,966",95,105,-9.9,60,1.14,16,34,69.7,51,19.1,44,49,95,43.1,"7,870",
Dallas Mavericks,82,60,22,3956,109.3,101,8.3,58,2,17,28,68,48,12,50,54.3,94,55,"7,726",
Denver Nuggets,82,17,65,3946,91.2,100.1,-8.9,64.6,1.15,16,34.5,70,51,20,43,47,92,43,"7,568",
Detroit Pistons,82,50,32,"3,981",102,98,4,60,1,16,29,70.7,50,15.1,47,52.3,88,52.5,"7,318",
Golden State Warriors,82,38,44,3951,106.4,107.7,-1.3,55.9,1.32,15.4,37.1,66,52,16,47,52.6,96,49,"7,897",
Houston Rockets,82,43,39,"3,986",102,101,2,53,1,15,33,69.8,52,17,47,52,90,51.1,"7,508",
Indiana Pacers,82,48,34,3981,103.2,99.6,3.5,65.6,1.58,17.7,31.8,69.4,51,16,47,52.2,93,54,"7,696",
Los Angeles Clippers,82,27,55,"3,951",101,105,-4,57,1,15,32,67,50,17,47,52,93,47,"7,613",
Los Angeles Lakers,82,50,32,3986,105.6,103.4,2.2,61.8,1.6,17.4,32.8,69.3,50.9,15.3,49,52.8,94,52,"7,797",
Memphis Grizzlies,82,28,54,"3,986",102,106,-4,62,2,18,30,66,48,16,49,52.6,94,48.2,"7,813",
Miami Heat,82,25,57,3966,95.4,101.2,-5.8,55.8,1.29,15,30.6,70.9,50.1,15.9,43.9,48.3,89,46,"7,353",
Milwaukee Bucks,82,42,40,"3,981",107,107,0,60,2,17,29,67,48,14,50,54,92,49.5,"7,607",
Minnesota Timberwolves,82,51,31,3961,104.8,102.5,2.2,65.3,1.84,19,31,69.5,50.8,14.6,48.8,52.8,93.08,52.9,"7,681",
New Jersey Nets,82,49,33,3951,102.1,97,5,65,2,18,32,70,51,16,47,52,93,54,"7,661",
New Orleans Hornets,82,47,35,3981,102.4,100,2.4,62,1,17,35,70,52,16,47,51,91,52,"7,522",
New York Knicks,82,37,45,3971,103.3,104.6,-1.3,61,2,17,28,69,48,15,49,53,92,47,"7,611",
Orlando Magic,82,42,40,3961,103.7,103.7,0,56.9,1.42,16,30,68,49,15,48,53,94,48,"7,788",
Philadelphia 76ers,82,48,34,3971,103.2,100.6,2.6,59.5,1.46,17,32,70,51,16,47,52,93,52,"7,694",
Phoenix Suns,82,44,38,3961,102.6,101.3,1.3,57.2,1.42,16.2,32,67,50,16,47,51,93,50,"7,637",
Portland Trail Blazers,82,50,32,3970,104.2,101.5,2.7,62.3,1.49,17.7,33.8,69,52,17,49,53,90,52,"7,486",
Sacramento Kings,82,59,23,3966,104.4,97.8,6.6,62.7,1.71,18.3,28.9,67.8,49,15,50,54,97,55,"7,987",
San Antonio Spurs,82,60,22,3966,103.9,98.1,5.8,56.3,1.26,15.9,31.1,68.7,50.8,17,50,54,91,55,"7,558",
Seattle SuperSonics,82,40,42,3971,102.4,102.6,-0.2,61.5,1.64,17.2,31.4,68.8,49.7,14.7,47,51,89,50,"7,379",
Toronto Raptors,82,24,58,3961,99.3,105.6,-6.3,55.6,1.34,15.3,31.8,67.8,49.1,15.7,45.8,50,91,45,"7,507",
Utah Jazz,82,47,35,3956,103.7,101.1,2.6,72.7,1.53,19.5,35.3,67.3,51.9,18.4,48.6,53.7,91,55,"7,483",
Washington Wizards,82,37,45,3966,101.5,102.6,-1.1,57.2,1.47,15.9,30.5,68.6,49.6,14.8,46,51.3,89.46,49.8,"7,390",
