TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Atlanta Hawks,6,2,4,288,107.3,107.7,-0.5,59.6,1.4,16.4,32.2,73.1,52.6,16.3,49.3,54.2,99,49,590
Boston Celtics,18,9,9,869,110.4,113.5,-3.1,70.2,2,20.1,26.1,68.2,46.8,14.1,53.2,56.6,95,48,"1,716"
Chicago Bulls,6,2,4,288,103.6,110.5,-6.9,55,1.3,15.7,31.6,74.7,53.2,16.5,48.3,52.9,93,47,559
Cleveland Cavaliers,18,13,5,864,119.9,111.8,8.1,53.9,1.69,16.9,26.9,70.4,49.7,13.5,57.9,61.4,97,54,"1,745"
Golden State Warriors,17,16,1,816,118.2,105.3,12.9,65.8,2.07,20,27.8,73.2,52.2,13.5,56.7,60.8,101,59,"1,716"
Houston Rockets,11,6,5,533,110.1,108.9,1.2,52.4,1.4,14.9,28.2,67.9,48.3,14.3,51.4,55.9,97,48,"1,076"
Indiana Pacers,4,0,4,192,114.5,119,-4.5,55.6,1.7,16.9,33.8,71.1,51.9,13.9,53,56.4,95,48,380
LA Clippers,7,3,4,336,107.9,109,-1.1,50.6,1.52,15.5,24.7,78.2,50.8,13.4,52.6,55.8,91,48,634
Memphis Grizzlies,6,2,4,293,109.9,119.2,-9.3,54.3,1.66,16.2,24.6,69.2,46.6,12.9,51,55.9,86,46,526
Milwaukee Bucks,6,2,4,288,103.3,103.7,-0.4,60.8,1.59,17.4,24.3,74,48.2,14.8,50.3,53.3,90,49,541
Oklahoma City Thunder,5,1,4,240,105,113.7,-8.7,51.3,1.55,14.8,29.3,68.6,48.1,12.9,49,52.5,99,48,496
Portland Trail Blazers,4,0,4,192,100,116.9,-16.9,44.4,1.03,12,26.4,73.6,48.1,15,45.8,50.7,102,37,406
San Antonio Spurs,16,8,8,778,112.8,111.6,1.2,53.3,1.67,16.2,32.7,73.7,52.6,13.4,51.2,55.1,94,51,"1,518"
Toronto Raptors,10,4,6,480,104.2,110.1,-5.9,55.5,1.52,16,24.1,75.9,49.9,13.9,49.3,54.1,93,47,928
Utah Jazz,11,4,7,528,105.2,110.4,-5.2,55.4,1.63,16.2,20.6,76.9,48.5,13,51.5,55.2,93,47,"1,023"
Washington Wizards,13,7,6,629,110.2,110.5,-0.3,56.8,1.65,16.8,31.5,71.9,51.3,14,50.5,54.9,97,50,"1,275"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
