TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Atlanta Hawks,11,4,7,528,100.5,109,-8,56,1,15,29.8,67,46.9,15,45,50,83.59,43,919
Boston Celtics,14,7,7,707,106,106,0,61,2,17,29.2,72,50,14,48.5,54,91.93,51,"1,355"
Chicago Bulls,7,3,4,371,105,109,-5,52,1,15,30,70,50.7,16,48.3,54,93,48,722
Cleveland Cavaliers,14,10,4,677,112.4,102.8,10,55,2,16,33,73,54,14,51,56,86.07,56,"1,215"
Dallas Mavericks,10,5,5,480,111,112,-1,51,1.39,15,27.8,75,51.7,14,52,58,91.45,50,915
Denver Nuggets,16,10,6,768,116,107,9,61,1.87,18,30,71,51,13,52.6,58,93,56,"1,495"
Detroit Pistons,4,0,4,192,94.3,112.7,-18.4,52.4,1.47,15,29,68,47.3,14,42.9,47,82.88,35,331
Houston Rockets,13,7,6,624,103,105,-2,50,1,14,30,71,51,16,49,53,88.42,49,"1,151"
Los Angeles Lakers,23,16,7,1114,110.4,102.2,8.2,51.8,1.49,15.4,30.3,69,50,14,50.8,55,92.12,54,"2,134"
Miami Heat,7,3,4,336,104.9,104,1,48,1,14,28,69,49.8,16,50.1,55,84,52,588
New Orleans Hornets,5,1,4,240,92.5,119.1,-26.6,56.8,0.86,13.4,25.9,70.1,47.2,20,43.9,51,91,33,455
Orlando Magic,24,13,11,1167,106.8,104.9,2,55,1,16,26,72,49,15,51.3,56,89.56,52,"2,178"
Philadelphia 76ers,6,2,4,288,99.6,107.9,-8.2,52.5,1.22,15.3,25.9,71.5,48.7,16.5,49.2,53,89,44,533
Portland Trail Blazers,6,2,4,288,102.5,109,-6.5,44,1,13,26,70,48,13,48,52,84.92,46,510
San Antonio Spurs,5,1,4,240,103.2,110,-6.8,45.7,1.45,14.1,24.3,74.6,48.5,12.6,49.5,52.8,87.6,43,438
Utah Jazz,5,1,4,240,102.7,111.5,-8.8,72.6,2,19,33,70,50,15,46,52,95,47,474
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
