TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Boston Celtics,17,10,7,831,111.6,106.3,5.3,58.7,1.62,17,26.1,74.7,51.4,14.2,52.7,57.2,96.32,53.1,"1,666"
Brooklyn Nets,4,0,4,192,102.4,122.9,-20.4,71,1.78,17.9,26.4,76.4,48.8,14,48.2,51.8,103,38.8,413
Dallas Mavericks,6,2,4,293,112.1,121.4,-9.3,51,1.7,15.8,21.6,77.9,49.2,12.1,54.9,58,102.55,46.3,626
Denver Nuggets,19,9,10,917,112.6,115,-2.4,58,1.62,17.3,27.9,72.2,50.2,14.6,54.5,58.4,94.87,49.1,"1,813"
Houston Rockets,12,5,7,581,107.7,106.8,0.8,57,1.59,16.3,18.9,73.3,45.2,13.4,53.5,56.9,99.18,48,"1,200"
Indiana Pacers,4,0,4,192,103.9,112.7,-8.8,61.6,1.48,17.6,18.5,71,44.7,15.7,53,56.5,97.88,43.4,388
LA Clippers,13,7,6,629,114.4,110.1,4.2,51.7,1.63,16,25.3,76.2,50.5,13,54.4,58.5,98.9,51.3,"1,296"
Los Angeles Lakers,21,16,5,1008,115.6,108.7,6.9,62.4,1.67,18.7,30.4,76,53.4,15.8,56.1,59.5,97.52,54.8,"2,049"
Miami Heat,21,14,7,1018,112.7,110.8,1.9,66,1.89,18.7,24.3,73.1,49.3,13.5,53.7,58.7,96.57,52.1,"2,049"
Milwaukee Bucks,10,5,5,485,109.1,107.3,1.8,60.6,1.63,17.7,23,79.1,50.6,14.6,53.7,56.8,101.05,50.2,"1,018"
Oklahoma City Thunder,7,3,4,341,101.7,108.3,-6.6,48.6,1.05,13.5,25.3,81.6,53.8,16.6,50,54.2,100.65,48.2,716
Orlando Magic,5,1,4,240,101.9,111.5,-9.6,64,1.63,17.3,17.2,78,46.4,13.9,50.5,54.7,104.6,44.6,525
Philadelphia 76ers,4,0,4,192,105,117.2,-12.3,52.6,1.46,13.5,31.6,72.5,51.3,12.5,44.3,51.2,95.75,44.6,383
Portland Trail Blazers,5,1,4,240,104.1,114.5,-10.4,47.3,1.11,13.2,27.7,70.4,48.4,15.6,49.2,53.7,102.4,41.5,512
Toronto Raptors,11,7,4,538,108.7,104.9,3.8,63.5,1.9,18.2,22.6,75.9,49.2,13,52.5,55.9,98.63,51.5,"1,107"
Utah Jazz,7,3,4,341,120.3,116.8,3.5,53.8,1.79,16.8,26,71.2,49.1,12.7,58.3,61.6,92.83,51.7,660
