TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Atlanta Hawks,6,2,4,293,91.3,96.1,-5,55,1.14,15,26.5,78,51,17,43.8,48,88.63,43,540
Boston Celtics,20,11,9,975,99.5,98.4,1,59,1.52,17,25.3,72,49,15,46.8,52,89,52,"1,799"
Chicago Bulls,6,2,4,288,94.8,97.4,-3,66,2,18,32.9,76,55,16,44.8,48,88.67,50,534
Dallas Mavericks,4,0,4,192,100.5,108.1,-8,49,1.07,13,28,79,52,16,46,52,93,45,371
Denver Nuggets,7,3,4,336,105.8,106,0,54,2,16,37,64,51,12,46,49,91.14,50,640
Indiana Pacers,11,6,5,533,102.5,100.5,2,48,1,13,36,70,53,17,46.1,51,88,51,976
Los Angeles Clippers,11,4,7,533,100.5,105.7,-5.2,50.1,1.17,15,26.7,67,47,16,50,53,89.56,46,995
Los Angeles Lakers,12,5,7,576,104,108.1,-4.1,54,2,15,34,66,50,14,45,50,90.63,48,"1,085"
Memphis Grizzlies,7,3,4,341,102.1,101.1,1,50,1.06,13.3,36.7,71,53,17,45,51,88,51,627
Miami Heat,23,16,7,1114,108.6,101.2,7.4,50,1.34,14.6,30,68.9,50,15,51,55,89,56,"2,061"
New York Knicks,5,1,4,240,95,110.8,-15.8,41.2,0.68,11,34,70,51,21,45.1,50,87.3,36,436
Oklahoma City Thunder,20,13,7,960,110.2,105.6,4.5,48.4,1.56,15,26,72,49,13,50.8,56,92,53,"1,838"
Orlando Magic,5,1,4,245,95.2,107.3,-12,55.5,1.23,14.6,28.6,61.9,45.1,15.9,45.2,49,86,42,440
Philadelphia 76ers,13,7,6,624,96.1,97.2,-1,56.6,1.57,15.2,26,71,48,13,44,48,89,48,"1,159"
San Antonio Spurs,14,10,4,672,109.3,102.8,6.5,60.3,1.6,18,24.9,71.7,49.3,15.3,54.1,57.4,93.36,53,"1,306"
Utah Jazz,4,0,4,192,92.2,109.9,-17.7,51.1,1.24,13,35.7,78,54,14,40,44,93,39,374
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
