TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,
Boston Celtics,16,9,7,768,100,96.7,3,57,1.33,15,27.7,72,50,16,46.9,52,91,52,"1,461",
Charlotte Hornets,9,4,5,442,102,102,0,57,1,15,36,70,52.7,16,45,51,92.36,50,849,
Dallas Mavericks,8,4,4,389,110.1,110.3,0,49.4,2,15,28,66,47,13,50,55,98,49,792,
Detroit Pistons,10,4,6,480,95,96,-1,64,1.28,16,26.5,67,46.3,17,45.4,50,87,48,871,
Indiana Pacers,5,2,3,250,96.6,95.4,1.2,60.9,1,17,24,71,49.1,19,49,53,91.49,52,474,
Los Angeles Lakers,19,15,4,917,105,101,4,55,1.43,15,31.9,68,51,15,48.2,53,92,53,"1,767",
Minnesota Timberwolves,3,0,3,144,104.8,115.8,-11,44.4,1.02,12,33,76,53.7,16,48,53,97.33,43,292,
New Jersey Nets,20,11,9,970,101,101,0,59,2,16,31.4,70,50,15,46,50,93.77,49,"1,896",
Orlando Magic,4,1,3,202,98.2,103.9,-5.8,58.6,1.63,15.5,24,63,44.4,13,45.1,51,91,46,382,
Philadelphia 76ers,5,2,3,240,100,110,-10,64,1,16,32,76,52.5,16,44,51,89.3,46,447,
Portland Trail Blazers,3,0,3,144,98.9,105.1,-6.2,66,1.41,15.8,35.2,76.1,54.2,16,42,49,92.17,44,277,
Sacramento Kings,16,10,6,778,105,102,3,56,1,16,32,67,50,15,47.8,53,95,53,"1,540",
San Antonio Spurs,10,4,6,480,105.3,101.5,3.8,51.4,1.52,14.5,30.2,68.1,49.5,12.8,46.5,52,87,54,865,
Seattle SuperSonics,5,2,3,240,101,113,-12,51,2,15,30,69,49,12,46,49,85.7,41,429,
Toronto Raptors,5,2,3,240,96.3,100,-3.7,64.4,1.31,16.8,37.9,71.1,54.1,18.4,44.4,48.6,86.8,50,435,
Utah Jazz,4,1,3,192,97,98,-1,70,1,17,38,68,53,18,44,48,91,51,363,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
