TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Atlanta Hawks,82,47,35,"3,941",108,107,2,56,2,16.4,30,68,49,14.1,50,55,90,51,"7,428"
Boston Celtics,82,62,20,3976,110,101.6,8,61,1,18,31,71.5,52,16.9,53,57.1,91,56.2,"7,560"
Charlotte Bobcats,82,35,47,"3,986",104,105,-1,61,1,17,32,68.6,50,17,49,53.6,89,49.5,"7,401"
Chicago Bulls,82,41,41,3986,107.2,107.5,0,55,1,16,32,68,50,15.3,49,54.1,94,50,"7,816"
Cleveland Cavaliers,82,66,16,3956,111.2,101.6,9.6,55,2,16,31,71,51,14,52,56,90,55.9,"7,395"
Dallas Mavericks,82,50,32,3961,109,107,2,57,2,17,30,70.7,50,13.6,50,55,93,52.2,"7,651"
Denver Nuggets,82,54,28,3946,109,106,3,60,1,16.9,31,68,50,16,51,56.3,95,53,"7,848"
Detroit Pistons,82,39,43,3981,105.8,106.4,-0.6,56.7,1.74,16.7,31,71,51,13.3,48,52.4,88,49.6,"7,302"
Golden State Warriors,82,29,53,3976,108,112,-4,53,1,15,29,65,47,15,50,55,100,47.8,"8,247"
Houston Rockets,82,53,29,3961,107.1,102.9,4.2,56.2,1.44,16.2,30.8,71.4,52,15,50,54.8,91,53,"7,532"
Indiana Pacers,82,36,46,3966,107.2,108.2,-1,55,1,16,29,71,50,14.8,50,54.5,97,49,"8,037"
Los Angeles Clippers,82,19,63,3976,101,110.1,-9.2,58.3,1.41,16.4,28.7,67.9,47.9,15.8,48,52,93,44,"7,723"
Los Angeles Lakers,82,65,17,3956,111.4,103.5,7.9,58,2,17,33,70,51,14,51,55.5,95,54.7,"7,874"
Memphis Grizzlies,82,24,58,3961,102.3,108.2,-6,49.7,1.14,14.2,29.7,69.7,49.5,16.6,48.6,53.3,91,45.7,"7,528"
Miami Heat,82,43,39,3991,106.8,106.5,0.3,55.1,2,16,28,69,48,14,50,54,91,50.5,"7,547"
Milwaukee Bucks,82,34,48,3956,105.2,106.3,-1.1,59.9,1.56,16.8,31,69.9,49.6,14.9,48.3,53.1,93.89,48.5,"7,736"
Minnesota Timberwolves,82,24,58,3961,104.9,109.9,-5,56.1,1.44,16,32,72,51,15,48,53,93,45,"7,645"
New Jersey Nets,82,34,48,3966,106.8,109.5,-2.7,55.9,1.52,16,29,70,49,14,50,54,91,47,"7,530"
New Orleans Hornets,82,49,33,3951,107.6,105.8,1.8,55.3,1.56,16,28,71,50,14,50,55,89,52,"7,303"
New York Knicks,82,32,50,3961,107,109.4,-2.5,55.1,1.48,16,28,70,48,15,50,54,98,47,"8,066"
Oklahoma City Thunder,82,23,59,3961,101.4,107.6,-6.2,55.5,1.25,15.6,31,72,51,17,47,52,95,46,"7,841"
Orlando Magic,82,59,23,3946,108.3,101.3,7.1,54.4,1.39,15.6,27,72,50,15,52,56,93,55,"7,649"
Philadelphia 76ers,82,41,41,3951,106.3,106.1,0.2,55,1.42,15.8,34.2,68,51,15,49,53,91,50,"7,512"
Phoenix Suns,82,46,36,3951,112.4,110.4,2,56.5,1.48,17.4,30.8,68.2,50.3,16,55,58,97,53,"7,984"
Portland Trail Blazers,82,54,28,3966,112.1,106.1,6,55.2,1.58,16.4,35.5,70.8,52.8,15,51,55,88,53,"7,273"
Sacramento Kings,82,17,65,3981,104.4,113.4,-9,54.1,1.28,15.3,28.9,66.9,47.7,16,49.1,54,95,44,"7,901"
San Antonio Spurs,82,54,28,3981,107.6,103.4,4.2,57.1,1.8,17.3,25.8,74,50.2,13,51.3,55,89,52,"7,395"
Toronto Raptors,82,33,49,3961,105.5,108.6,-3,60.1,1.67,17.5,27.6,70.6,49.3,14.3,49.4,54.2,93,49,"7,697"
Utah Jazz,82,48,34,3976,108.5,105.8,2.7,64.4,1.67,18.4,31.6,69.3,50.5,15.5,50.4,55.4,94.47,54,"7,827"
Washington Wizards,82,19,63,3941,104,112.1,-8.1,54.8,1.43,15.8,31.3,68.9,49.5,15.1,48,52.4,92.26,44.8,"7,576"
