TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,
Boston Celtics,10,4,6,495,100,100.8,0,62,1,17,23.8,68,46,16,48,53,91.44,49,942,
Dallas Mavericks,20,10,10,970,109,109.1,0,53,2,15.8,28,68,48,13,50.3,55,95,48,"1,914",
Detroit Pistons,17,8,9,826,101,99.4,1,58.8,1,15,28.5,68,48,15,46,52,88.36,51,"1,518",
Indiana Pacers,6,2,4,293,100,106.6,-7,66,1,16,34,76,54,16,42.2,50,89,48,547,
Los Angeles Lakers,12,6,6,581,105.3,105.2,0.2,56,2,16.1,30,73,51,14,49,53,94,49,"1,142",
Milwaukee Bucks,6,2,4,293,105,109,-4,55,2,16,26,63,44.3,14,49.9,54,91.9,46,560,
Minnesota Timberwolves,6,2,4,293,103.1,109.4,-6.3,58.7,1.39,16.7,28,69,50,16,49.2,54,96,48,585,
New Jersey Nets,20,14,6,975,101,97,4,62,1,16,33.9,73,53.1,16,45,51,91.37,52,"1,857",
New Orleans Hornets,6,2,4,288,104.1,106.2,-2.1,59.1,1.36,16.1,33.8,65,49,16,47.9,53,89,48,535,
Orlando Magic,7,3,4,336,98,106,-8,52,1,14,27,65,47,17,46,52,90,42,627,
Philadelphia 76ers,12,6,6,586,103.4,102.6,0.7,56.2,1.28,15.4,34.5,70.1,52.7,17,46.8,53,87.48,52,"1,069",
Phoenix Suns,6,2,4,293,91,96,-6,50,1,13,30,64,46,17,41.4,46,92.23,40,563,
Portland Trail Blazers,7,3,4,336,112.2,111.3,0.9,63.9,1.7,17.8,38.1,71,54.5,15.2,50.1,55,90,52,632,
Sacramento Kings,12,7,5,586,110,108,2,58,2,17,32,67,50,14,50,55,96.2,52,"1,175",
San Antonio Spurs,24,16,8,1157,102.2,96.4,5.8,61.2,1.36,16.2,31.4,70.4,51.7,16.4,47.6,52.5,92.25,57,"2,225",
Utah Jazz,5,1,4,240,102,114,-12,62,1,16,40,64,52,18,45,51,91,44,457,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
