TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,
Boston Celtics,4,0,4,192,93,110.4,-18,61,1,14.6,28,67.8,48.9,22,45,51,91,40,364,
Dallas Mavericks,5,1,4,240,101,100.2,1,53.9,2,14.5,40,69.7,53.1,14,42.2,47,98.2,48,492,
Denver Nuggets,5,1,4,240,99,103.1,-4,54.8,1,15.8,34,71,51.1,16,45,48,92,46,459,
Detroit Pistons,23,16,7,1124,97.7,90.3,7,61.9,1,16,34,70.6,52,17,44,49,87.67,57,"2,050",
Houston Rockets,5,1,4,245,94,99,-5,54.1,1,14.5,27,74,51.9,19,45.8,50,89,45,451,
Indiana Pacers,16,10,6,768,98.1,93,5.1,58.2,1,15,29,70,49,16,45,50,87.13,53,"1,394",
Los Angeles Lakers,22,13,9,1066,99.1,98.8,0.4,68.5,1.79,18.3,28,69.4,49,14,48,51,88,52,"1,956",
Memphis Grizzlies,4,0,4,192,95,111,-16,47,1,13,25,67,44.9,16,45,50,88,39,352,
Miami Heat,13,6,7,624,95.9,96,-0.2,53.4,1.15,13.9,31.1,70,50,16,43,49,87.54,49,"1,140",
Milwaukee Bucks,5,1,4,240,95,108,-14,64,1,17,31,64,46.8,18,44.7,49,91,40,453,
Minnesota Timberwolves,18,10,8,869,101.3,101.1,0.2,56.8,1.29,15.8,28.1,69.3,49.6,17,48,53,90.37,49,"1,634",
New Jersey Nets,11,7,4,543,96,93,3,66,1,16,31,68,51,20,45.4,51,90,53,"1,015",
New Orleans Hornets,7,3,4,336,91.1,94.5,-3.4,65.9,1.13,15.7,32.7,68.2,50.3,19.4,42.2,47,88.43,49,619,
New York Knicks,4,0,4,192,91,105,-14,63,1,15,32,66,47,18,41,46,91.88,36,368,
Sacramento Kings,12,7,5,581,99.7,99.6,0.2,64.8,1.59,17.3,29.2,66.1,48.2,15,46,50.7,94.64,52,"1,145",
San Antonio Spurs,10,6,4,480,101,98,4,58,1,16,33,75,53,18,49,52,88,51,883,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
