TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Boston Celtics,19,11,8,922,107.1,106.2,0.9,58.2,1.82,16.5,25.6,74.7,49.4,12.3,50,54.1,93.74,49.9,"1,799"
Cleveland Cavaliers,22,12,10,1066,108.3,111.1,-2.8,52.2,1.52,15.3,28.9,74.4,51.3,13.6,51.2,55,92.13,48.3,"2,055"
Golden State Warriors,21,16,5,1013,112.7,102,10.7,63.2,2.03,19.2,25.5,73.2,50.8,13.1,54.5,58.1,97.73,57.2,"2,058"
Houston Rockets,17,11,6,816,108.5,107,1.6,50.6,1.56,14.7,25.1,75.5,49.4,12.5,51.4,55.2,96.56,49.7,"1,644"
Indiana Pacers,7,3,4,336,110.3,103.4,6.9,54.8,1.61,17.1,27.4,73.5,50.7,14.4,54.2,56.7,91.43,54.5,638
Miami Heat,5,1,4,240,101.8,112.2,-10.4,65,1.49,17.3,23.5,65.5,44.9,15.7,50.7,54.2,101.7,42.9,508
Milwaukee Bucks,7,3,4,341,108.7,108.8,-0.1,56.2,1.67,17.8,19,69.8,46.6,14,56.1,58.5,92.55,50.9,656
Minnesota Timberwolves,5,1,4,240,106.9,116,-9,58.9,1.78,17.4,24.5,74.5,50.6,13.3,51.5,54.8,95.1,47.5,475
New Orleans Pelicans,9,5,4,432,105.5,107,-1.4,62.7,1.86,19,21.5,76.2,49.7,13.9,53.3,56.2,103.89,50.4,938
Oklahoma City Thunder,6,2,4,288,102.9,106.9,-4,43.9,1.17,12.8,26.1,71.3,48.5,14.2,49,52.8,98.5,46.9,590
Philadelphia 76ers,10,5,5,485,108.9,105,3.9,66.7,1.77,18,33.3,76.9,54.3,14.6,49.3,53.9,98.87,53.2,999
Portland Trail Blazers,4,0,4,192,105.5,113.9,-8.4,46.1,1.31,14.3,26.7,78.1,49.9,14.5,51.2,53.9,100.25,42.6,400
San Antonio Spurs,5,1,4,240,102.1,111.9,-9.8,54.9,1.73,15.2,23.3,70.9,45.6,11.6,46.3,51.5,94.6,41.8,474
Toronto Raptors,10,4,6,485,111.4,116.4,-4.9,56,1.56,16.8,27.2,71.9,49.6,14.5,53.6,57.8,95.16,46.9,963
Utah Jazz,11,5,6,528,104.3,106.1,-1.8,53.7,1.3,15.5,25.5,75.4,50.7,15.8,52,54.9,98.36,48.8,"1,080"
Washington Wizards,6,2,4,288,109.7,110.8,-1.1,58.8,1.73,17.5,27.9,73.6,50.4,13.8,51.3,56.1,98.08,49.8,586
