TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Atlanta Hawks,10,4,6,485,103.2,104,-0.8,61.7,1.57,17.2,25.5,70.5,49,14.8,49,53,96.1,52,970
Boston Celtics,6,2,4,293,94.3,101.2,-6.9,61.2,1.43,15.5,27,74.8,49.6,14.7,43,48,98,44,597
Charlotte Hornets,7,3,4,336,98.8,108.1,-9.3,42.6,1.44,11.8,22.1,72.4,46.1,10.3,43,49,92,43,640
Cleveland Cavaliers,21,16,5,1008,114.6,105.2,9.5,55.4,1.7,16.8,30.7,74.5,52.8,13.7,54,57,91,55,"1,919"
Dallas Mavericks,5,1,4,240,101.7,120.4,-18.7,58.2,1.75,16.5,26.3,62.7,44.3,12.8,47,51,92.6,39,461
Detroit Pistons,4,0,4,192,109.2,119.3,-10.1,60.4,2.07,18.4,24.3,70.1,48.1,12.1,54,56,86.88,47,348
Golden State Warriors,24,15,9,1157,109.7,105.1,4.5,62.4,1.74,17.9,27.5,67.6,48.2,14.3,53,56,97.83,54,"2,357"
Houston Rockets,5,1,4,240,91.4,110.7,-19.3,54.5,0.95,13.3,33.2,74.2,51.6,19,43,47,99.6,34,499
Indiana Pacers,7,3,4,336,103.8,101.9,1.9,55,1.26,15.2,26.8,62,46,16,50,55,90.43,54,632
LA Clippers,6,2,4,288,102.6,101.9,0.7,48.9,1.88,14.3,26.5,69.3,47.9,10.1,47,50,95.67,51,575
Memphis Grizzlies,4,0,4,192,89.3,113.2,-23.9,51.6,1.06,13.5,30,73.3,49.2,17.1,42,46,91,33,363
Miami Heat,14,7,7,687,104.4,101.3,3.1,44.4,1.24,13.6,27,74,51.6,14.2,50,54,90.62,54,"1,299"
Oklahoma City Thunder,18,11,7,864,111.3,105.8,5.5,53.6,1.48,15.5,33.9,72.7,53.5,14.5,50,55,96,53,"1,721"
Portland Trail Blazers,11,5,6,533,106.3,108.5,-2.3,58.1,1.65,15.8,30.3,73.4,51.3,13.2,48,52,98,47,"1,087"
San Antonio Spurs,10,6,4,480,109.8,100.5,9.3,55,1.84,17,27,68.6,48.5,12.5,51.9,55.7,92.65,57,929
Toronto Raptors,20,10,10,975,101.7,106.4,-4.7,45.8,1.21,12.9,30.7,73.7,50.7,14.2,46.3,51,90,45,"1,837"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
