TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,
Chicago Bulls,6,2,4,288,104,106,-3,54,1,14.8,25,69,47,17,50,54.8,95.08,47,569,
Cleveland Cavaliers,13,7,6,634,103,107,-4,48.1,1,13.5,35,68,52,16.4,47,52,86.5,48,"1,144",
Dallas Mavericks,23,14,9,"1,124",109,104.4,4,42.2,1,13,32,74.2,53,14,48,54,90,52,"2,110",
Denver Nuggets,5,1,4,240,93.8,102.6,-9,60.7,2,15,33,72.9,50,13,40,44.9,93,43,466,
Detroit Pistons,18,10,8,864,107,103,4,58.1,2,15.7,32,70,50,13.8,48,52.8,86.19,52,"1,550",
Indiana Pacers,6,2,4,288,102.1,106.3,-4.2,57.2,1,15.4,28,71.4,50,18.1,49,54.3,87.5,46,525,
Los Angeles Clippers,12,7,5,586,110,106,5,52,1,16.1,31,72,53,16.2,52,57,94.53,53,"1,151",
Los Angeles Lakers,7,3,4,346,105.2,112.9,-7.7,45.5,1.14,13.7,30,80.3,54,16,50,53.8,93,44,669,
Memphis Grizzlies,4,0,4,197,97,113,-16,47,1,13,25,61.8,44,18.4,48,53,84.67,39,347,
Miami Heat,23,16,7,1109,104.6,101.1,3.5,50.2,1.13,14.5,28.4,73.5,52,17,53,56,91,54,"2,117",
Milwaukee Bucks,5,1,4,240,108.4,118.3,-9.9,55.6,1.59,17,29.6,67.3,48,14.7,50,54.5,90,42,450,
New Jersey Nets,11,5,6,528,105,106,-1,65,2,18,28,74,50,14,49,54,89.64,50,984,
Phoenix Suns,20,10,10,980,112.4,111.1,1.3,58.4,2.03,18.2,23.1,67,45.5,12.1,53.8,57.9,93,52,"1,907",
Sacramento Kings,6,2,4,293,107,117,-10,44,1,13,32,73,51,14,48,54,89.53,41,545,
San Antonio Spurs,13,7,6,639,112,109.6,2.4,47.9,1.31,14.7,25.4,68.4,48.1,14.5,53.3,58.7,89.84,54,"1,196",
Washington Wizards,6,2,4,298,108.9,109,0,50,1,14,30,63,46,14,49,55,90,51,560,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
