TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Atlanta Hawks,82,60,22,3946,108.2,102.3,5.9,67.6,1.81,19.5,26.4,69.7,48.7,15,53,56,95,54,"7,775"
Boston Celtics,82,40,42,3976,103.8,103.5,0.3,62.9,1.77,18,28.9,71,49.5,14,49,52,97,49.8,"8,007"
Brooklyn Nets,82,38,44,3986,103.4,106.3,-3,55.9,1.51,16.3,27.8,70.1,49.1,15,49,53,94,48,"7,777"
Charlotte Hornets,82,33,49,3981,99.6,103,-3.4,56.8,1.69,15.8,27,74.6,50.2,13,46,49.8,93,48.2,"7,753"
Chicago Bulls,82,50,32,3976,106.3,103.3,3,59.3,1.56,16.6,31.2,70.9,51.6,15,49,53.6,94,52.9,"7,775"
Cleveland Cavaliers,82,53,29,3956,110.1,105.3,4.8,58.7,1.55,17.1,31.1,71.1,51.3,15,52,55.7,93,51,"7,682"
Dallas Mavericks,82,50,32,3976,108.2,104.9,3.2,56.7,1.74,17,26.9,68.1,47.7,13,52,55,96,52.1,"7,976"
Denver Nuggets,82,30,52,3976,103.9,107.1,-3.3,57.7,1.53,16.2,30.3,70,49.4,15,48,51.8,97,46.5,"8,011"
Detroit Pistons,82,32,50,3966,104.3,105.4,-1.1,58.2,1.61,16.4,31.6,71.2,50.5,14,48,51.5,94,47.8,"7,741"
Golden State Warriors,82,67,15,3946,110.4,100.4,9.9,65.9,1.9,19.7,27.3,70.3,49.8,15,54,57,99,56.9,"8,170"
Houston Rockets,82,56,26,3961,106,102.6,3.4,60,1.33,16.5,30.5,68.6,49.6,17,51,54.8,97,51,"8,037"
Indiana Pacers,82,38,44,3971,102.9,102.7,0.2,58.6,1.53,16.6,28.6,73.5,51.1,15,48,52,94,51,"7,753"
Los Angeles Clippers,82,56,26,3946,111.6,104.7,6.9,62.9,2.01,18.7,27.2,71.6,49.7,13,53,57,95,54,"7,844"
Los Angeles Lakers,82,21,61,3986,102.3,109.4,-7.1,56.2,1.58,15.9,29,72,49.7,13.8,47.3,51.3,95,45,"7,892"
Memphis Grizzlies,82,55,27,3981,104.8,101.2,3.5,57.4,1.62,16.9,28.8,71.6,50.3,14.2,49,53,93,53,"7,696"
Miami Heat,82,37,45,3946,103.2,106.1,-3,56.4,1.34,16.1,28.4,68.7,48.9,16.1,50,54,91.49,49.2,"7,526"
Milwaukee Bucks,82,41,41,3986,102,101.4,0.6,62.7,1.41,17.8,29,68.6,49.1,17.5,49.9,54,95,51,"7,867"
Minnesota Timberwolves,82,16,66,3961,101.8,110.9,-9.1,59.3,1.44,16.3,31.1,68.2,48.9,15.6,46.8,52,95,45,"7,873"
New Orleans Pelicans,82,45,37,3956,107.1,106.3,0.8,58.1,1.66,17.1,30.9,71.2,51.1,14.3,50.1,54,92,51,"7,608"
New York Knicks,82,17,65,3971,98.9,109,-10.1,60.6,1.45,16.7,28.9,69.1,48.4,15.8,47,51,92,44,"7,618"
Oklahoma City Thunder,82,45,37,3966,106.7,104.6,2.1,52.8,1.4,15.3,31.8,73,52.4,15.1,49.2,53,97,51,"7,988"
Orlando Magic,82,25,57,3951,101,106.8,-5.9,55,1.39,16.2,26.9,71.6,49.1,15.7,49.4,52,95,46,"7,773"
Philadelphia 76ers,82,18,64,3961,94.9,103.9,-9,60.9,1.16,15.5,29.3,68.6,48,18.3,45.9,49,96,43,"7,950"
Phoenix Suns,82,39,43,3976,104.2,105.3,-1.1,52.2,1.34,15.4,28.1,69.8,48.9,15.4,50.1,54,97,49,"8,058"
Portland Trail Blazers,82,51,31,3971,107.1,102.8,4.3,56.7,1.61,16.8,28.2,72.8,51,14.2,50.8,54,95,52,"7,868"
Sacramento Kings,82,29,53,3971,104.5,108.2,-3.7,55.4,1.25,15.5,31.3,71.5,51.9,16.8,49,54,96,49,"7,952"
San Antonio Spurs,82,55,27,3991,107.6,101.4,6.3,62.3,1.75,18.4,27.2,73,50.7,14.6,51.7,55.5,94,55,"7,860"
Toronto Raptors,82,49,33,3971,110.2,107.1,3.1,54.7,1.61,16.1,30.1,68.9,49.4,13.7,50.8,55.3,93,51,"7,736"
Utah Jazz,82,38,44,3941,104.2,104.1,0.1,56.3,1.3,15.8,33.2,71.5,52.4,16.8,49.4,53.1,91.1,51,"7,486"
Washington Wizards,82,46,36,3991,103,102.4,0.6,62.7,1.6,18.1,28.8,72.6,51.4,15.7,49.9,53.4,94.29,52.5,"7,844"
