TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Atlanta Hawks,7,3,4,336,101.4,101.2,0.2,55.7,1.24,14.1,25,73,47.6,15,45.6,52,92,45,638
Brooklyn Nets,12,5,7,576,108.5,109.7,-1.2,52.8,1.5,15.5,28,74,50.2,14,51.4,56,88,49,"1,056"
Charlotte Bobcats,4,0,4,192,101.1,112.4,-11.3,58.5,1.32,16.2,25,80,52.1,17,50,54,91,44,364
Chicago Bulls,5,1,4,245,102.3,106.5,-4.3,60.8,1.53,16.4,31,69,50.3,15,46.3,51,87,46,440
Dallas Mavericks,7,3,4,336,108.3,110.4,-2.1,48.9,1.68,15.1,30,74,49.3,12,50,53,93,47,654
Golden State Warriors,7,3,4,336,109.7,114.3,-4.6,63.8,1.41,17.6,36,68,52.1,18,51.8,56,97,47,679
Houston Rockets,6,2,4,303,113.7,114.1,-0.4,44.9,1.33,13.3,42,68,55,14,49,53,93,48,591
Indiana Pacers,19,10,9,912,102.4,104.3,-2,55.9,1.38,15.8,25,73,49.6,15,50,54,89,51,"1,700"
Los Angeles Clippers,13,6,7,624,113.2,110.7,2.5,60.5,1.89,17.8,30,66,48,13,52,56,96,51,"1,249"
Memphis Grizzlies,7,3,4,356,100.9,105.8,-4.9,59.1,1.95,16.3,29,67,47,12,44,49,91,48,671
Miami Heat,20,13,7,960,112,109.6,2.3,51.6,1.5,16.1,22.3,71.8,47.6,14,55.5,59,87,51,"1,737"
Oklahoma City Thunder,19,10,9,937,106.1,108,-1.9,52.7,1.28,15,29.2,71,51,16,50,55,94,50,"1,835"
Portland Trail Blazers,11,5,6,543,107.2,113.3,-6.1,45.7,1.27,13.4,32.2,65.5,48.8,14.2,48.2,53,95,46,"1,070"
San Antonio Spurs,23,16,7,1109,113.3,103.1,10.2,55.9,1.77,17.5,26.3,72.3,50.5,13.4,54.6,58.3,94,57,"2,159"
Toronto Raptors,7,3,4,336,106,108.6,-2.6,54.1,1.16,14.6,30.6,74.7,52.7,17,49,55,90,48,635
Washington Wizards,11,6,5,533,101,100,1,56.7,1.52,15.9,30.5,74.9,52.2,14,47,50,89,52,984
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
