TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Atlanta Hawks,6,2,4,288,96.2,101.6,-5.4,58.7,2,16,20.7,68,44,13,46,50,92.92,46,557
Boston Celtics,6,2,4,293,92,98.1,-6.1,59.1,1,15,19.8,74,48.8,19,46,53,87.89,49,537
Brooklyn Nets,7,3,4,351,106.9,104.6,2.3,53.7,2,16,30.1,69,49,12,48,52,89.09,51,651
Chicago Bulls,12,5,7,591,101.9,109.1,-7.2,55.7,1,16,32.5,71,51.1,16,47,51,87.96,45,"1,082"
Denver Nuggets,6,2,4,288,104.7,109.4,-4.6,57,1,16,31,68,47.8,15,48,53,98.17,45,590
Golden State Warriors,12,6,6,591,104.7,104.9,-0.2,55.6,1,16,31.4,72,52,17,51,55,95,51,"1,177"
Houston Rockets,6,2,4,288,105.1,110.4,-5.4,52.4,1,14,29,73,50,17,50,54,96,45,571
Indiana Pacers,19,11,8,917,103.1,102.9,0.2,54.2,1,14,35,73,55,18,48,53,88.57,52,"1,692"
Los Angeles Clippers,6,2,4,288,107.8,113.6,-5.8,51.2,1.35,15.3,28.7,67,48.2,15,51,55,88,46,527
Los Angeles Lakers,4,0,4,192,92.9,112.7,-19.8,53.6,1.12,15,25,73,48,18,47,50,92,38,367
Memphis Grizzlies,15,8,7,735,104.6,103.9,0.7,56.8,1.8,15.4,31.2,73.3,51,12,45,50,89,50,"1,358"
Miami Heat,23,16,7,1114,109,102.2,6.8,57.4,1.57,16.9,28.9,67.2,48.7,14.7,52,56,88,55,"2,050"
Milwaukee Bucks,4,0,4,192,93.9,110.2,-16.3,59.4,1.22,16.1,27.4,67,46,18,47,50,90.75,40,363
New York Knicks,12,6,6,581,100.7,97.5,3.1,45.4,1.3,13,28,71,48,13,46,50,87.28,49,"1,056"
Oklahoma City Thunder,11,5,6,533,104.6,103.8,0.8,52,1.33,14.5,27,71.9,49.9,14.5,47.9,53.4,92.94,51,"1,035"
San Antonio Spurs,21,15,6,1038,107.6,99.7,7.9,57.4,1.7,17.2,27.7,70.8,50,14,51,55,91,55,"1,958"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
