TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,
Atlanta Hawks,16,8,8,778,102.8,102.9,-0.2,64.6,1.88,18.1,26.3,71.1,48.9,13,48,52,94,51.4,"1,526",
Boston Celtics,4,0,4,192,100.5,108.9,-8.4,57.6,1.48,15.7,26,69.6,47.1,14,45,50,95,42.7,377,
Brooklyn Nets,6,2,4,293,100.2,105.9,-5.7,59.9,1.51,16.8,24.2,72,48.2,15,49,52,95,46,577,
Chicago Bulls,12,6,6,586,104.2,101.1,3.1,63.2,1.58,17,33.7,70.7,52.5,15,47,51.5,90,52.6,"1,106",
Cleveland Cavaliers,20,14,6,975,106.6,102.2,4.4,51.9,1.39,14.2,32.7,72.8,52.7,14,48,52.4,91,51.9,"1,857",
Dallas Mavericks,5,1,4,240,107,111.3,-4.3,51,1.49,15.2,30.9,70.9,50.7,14,49,53.4,103,48,514,
Golden State Warriors,21,16,5,1023,107.1,98.8,8.2,64.2,1.68,18.3,28.5,70.7,50.1,15,52,55,95,54.7,"2,026",
Houston Rockets,17,9,8,816,106,108.4,-2.4,58.6,1.41,15.8,29.1,70.7,49.8,15,51,54.4,102,48.5,"1,735",
Los Angeles Clippers,14,7,7,677,107.9,106.7,1.1,57,1.71,16.7,26.5,70.5,48.9,13,52,54.8,99,51.3,"1,399",
Memphis Grizzlies,11,6,5,528,101.7,103.1,-1.5,57,1.85,16,27.9,73.8,50.2,12,45,50,93,50.8,"1,025",
Milwaukee Bucks,6,2,4,298,92,104.5,-12.5,59.5,1.54,15.5,26.7,67.4,45.7,14,42,45.5,93,42,577,
New Orleans Pelicans,4,0,4,197,103.6,111.8,-8.2,61.2,1.72,17.5,26.6,69.4,48.7,14,49,54,95,46,389,
Portland Trail Blazers,5,1,4,240,101.5,109.1,-7.6,49.7,1.43,13.7,27.1,71.9,49.1,13,46,50,92,44,462,
San Antonio Spurs,7,3,4,341,107.7,106.7,1.1,63.1,1.99,18.1,28.1,72.6,50,12.6,50.5,53.6,95,49.3,672,
Toronto Raptors,4,0,4,197,98.5,113.4,-14.9,53.1,1.63,15,26.8,71.9,47.4,12.3,46,49,95,38,391,
Washington Wizards,10,6,4,485,105,101,3.9,61.9,1.59,17.3,29.8,71.6,51.3,15.1,49.7,53.3,95.26,53,963,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
