TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Atlanta Hawks,82,30,52,"3,976",102,107,-5,56,1,15,33,68,50,17.3,47,52,91,47,"7,533"
Boston Celtics,82,24,58,"3,971",102,105.8,-4,57,1,15.6,31,71,50,17.6,48,53,93,46,"7,680"
Charlotte Bobcats,82,33,49,"4,001",102,106.3,-4,62,2,17,30,68.2,49,16,48,52,93,47.1,"7,758"
Chicago Bulls,82,49,33,3956,104,98.8,5,60,1,17,32,70.7,51,16.8,49,53.4,94,53.9,"7,790"
Cleveland Cavaliers,82,50,32,"3,976",104,101,4,57,1,16,33,72,52,15.5,48,52,92,52,"7,598"
Dallas Mavericks,82,67,15,3951,109.7,102.1,7.6,54.2,1,16,32,71.9,52,15.2,51,56,91,55.2,"7,476"
Denver Nuggets,82,45,37,"3,956",107,105,2,61,1,17.1,32,67.8,50,17,50,54.8,98,51,"8,093"
Detroit Pistons,82,53,29,3976,107.4,102.6,4.8,60.1,1.77,17.3,31,67.8,49,14,49,53.5,89,53,"7,332"
Golden State Warriors,82,42,40,"3,951",106,107,0,60,1,17,29,66.2,47,15.9,51,55,100,48.9,"8,228"
Houston Rockets,82,52,30,3971,104.7,99.7,4.9,58.6,1.47,16.5,28.7,72.5,51,15.3,50,54,92,52.9,"7,598"
Indiana Pacers,82,35,47,3956,102,104,-3,59,1,16,32,69,50,17.3,47,52.3,93,48.5,"7,697"
Los Angeles Clippers,82,40,42,3946,103.8,104.2,-0.4,61.2,1.42,17,30.7,71.2,51.3,16.4,48,53.7,92,51,"7,554"
Los Angeles Lakers,82,42,40,4006,107.3,108,0,60,1,17,30,69,50,16,51,55.4,95,49.9,"7,898"
Memphis Grizzlies,82,22,60,3996,105.7,110.9,-5.2,56,1.25,15.9,29.1,68.2,48.6,17,50.4,55.5,95,46,"7,883"
Miami Heat,82,44,38,3971,103.4,104.6,-1.2,57.6,1.4,16.6,27.9,69.3,49.3,16,50.6,54.1,90.61,50.8,"7,503"
Milwaukee Bucks,82,28,54,3971,106,110.3,-4.3,57,1,17,31,66,48,16,50,54,93,46,"7,709"
Minnesota Timberwolves,82,32,50,4001,102.4,106.5,-4,62,1,18,29,70,50,17,49,54,92,49,"7,689"
New Jersey Nets,82,41,41,3976,104.2,105.1,-0.9,67,2,19,28,71,50,16,50,55,93,50,"7,682"
New Orleans/Oklahoma City Hornets,82,39,43,3976,103.7,105.4,-1.6,51.7,1,15,32,72,51,16,48,52,91,49,"7,551"
New York Knicks,82,33,49,4001,104.3,107.4,-3.1,52.8,1,15,34,71,53,18,49,54,92,47,"7,661"
Orlando Magic,82,40,42,3956,104.1,103.3,0.8,53,1.1,15,33,70,52,19,50,54,91,50,"7,465"
Philadelphia 76ers,82,35,47,3976,102.4,105.6,-3.2,56.9,1.33,16.1,30.6,68,49,17,48,53,92,49,"7,606"
Phoenix Suns,82,61,21,3981,112.9,105.5,7.4,62.6,1.78,19.3,26.2,68,48,15,55,59,96,56,"8,002"
Portland Trail Blazers,82,32,50,3991,103.8,108.6,-4.8,52.6,1.22,15,32.6,69.7,50.7,17,48,53,89,46,"7,431"
Sacramento Kings,82,33,49,3961,105.1,106.7,-1.6,56.6,1.39,15.8,26.7,69.2,47.7,15,49,55,96,49,"7,898"
San Antonio Spurs,82,58,24,3956,108.6,99.4,9.2,60.5,1.6,17.8,27.9,71.5,50.5,15.3,52,56,90,57,"7,440"
Seattle SuperSonics,82,31,51,3966,105.9,108.9,-3,55.6,1.34,16.2,31.2,67.6,49.2,16.5,49.9,54,93,47,"7,674"
Toronto Raptors,82,47,35,3951,105.7,104.4,1.2,60.1,1.65,17.5,25,71.1,48.1,14.3,50.4,55,94,51,"7,719"
Utah Jazz,82,51,31,3961,108.6,105.6,3,65.9,1.58,18.5,35.2,72.1,53.4,16.7,50.2,55.1,92.81,53,"7,661"
Washington Wizards,82,41,41,3966,108.7,109.1,-0.4,54.1,1.47,15.5,31.2,67.8,48.9,14.4,49.1,54.2,95.33,48.5,"7,870"
