TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,
Atlanta Hawks,82,28,54,"3,981",99.1,104,-5,58,1.22,16,31,69,50,18,47,51.4,93,46.6,"7,680",
Boston Celtics,82,36,46,"3,941",100.7,102,-1.5,59,1,16,27.9,66,47.3,17.2,49,53,94,49,"7,757",
Chicago Bulls,82,23,59,3966,95.6,102,-6.5,64,1.36,17,31.1,68,49.1,17.2,45,48.6,93,44.6,"7,694",
Cleveland Cavaliers,82,35,47,"3,971",101,103,-2.6,62,1.49,17,34,69,51,16,45,50,92,49,"7,577",
Dallas Mavericks,82,52,30,3961,110.4,105.9,4.5,59,1.96,18,34,69,50.7,13,50,54,95,52.7,"7,814",
Denver Nuggets,82,43,39,"3,946",102,101,1,60,1.4,17,33.7,66,50,16.4,47,51.7,95,51,"7,786",
Detroit Pistons,82,54,28,3956,100.3,93.9,6.5,62,1.37,17,33,69,51,17,46,51,89,55.8,"7,365",
Golden State Warriors,82,37,45,3971,101.5,102.6,-1.1,58.5,1.39,16.2,31.2,69,50.3,16,48,52,91,49,"7,535",
Houston Rockets,82,45,37,"3,986",100,98,2,58,1,16,31,71,52,18.6,48,52.8,89,51.3,"7,384",
Indiana Pacers,82,61,21,3961,102.5,96.2,6.3,64.4,1.5,17.3,32,70.6,51.1,16,47,52,89,53.9,"7,311",
Los Angeles Clippers,82,28,54,"3,961",102,107,-5,59,1,16,36,68,52,17.6,45,51.2,92,46,"7,624",
Los Angeles Lakers,82,56,26,3971,104.2,100.1,4.1,64.3,1.72,17.9,31.3,70.1,50.6,14.6,48,52,93,53.8,"7,729",
Memphis Grizzlies,82,50,32,"3,976",103,101,3,65,2,18,33,66,49,16,48,52.2,93,52,"7,670",
Miami Heat,82,42,40,3951,100.6,100.3,0.3,57.3,1.38,15.6,30.7,70.7,50.4,15.4,46.3,51,89,49.6,"7,361",
Milwaukee Bucks,82,41,41,3956,105,104,1,63,2,18,31,69,50,14,48,53,93,51,"7,682",
Minnesota Timberwolves,82,58,24,3951,104.2,98.5,5.7,62.3,1.81,18.2,30.3,69.1,50.7,14,48.6,52.8,90.24,55.4,"7,441",
New Jersey Nets,82,47,35,3941,99,96,3,71,2,19,29,71,50,16,47,52,91,53,"7,475",
New Orleans Hornets,82,41,41,3966,100.7,100.6,0,62,1,16,33,68,50,16,46,51,91,49,"7,476",
New York Knicks,82,39,43,3976,99.7,101.3,-1.6,58.8,1,16,31,70,51,17,47,52,91,49,"7,563",
Orlando Magic,82,21,61,3966,101.4,108.8,-7.4,54.5,1,15,32,66,48,15,46,50,92,43,"7,608",
Philadelphia 76ers,82,33,49,3971,97.8,100.4,-2.6,61.1,1.25,16.1,31,68,50,18,46,51,89,48,"7,379",
Phoenix Suns,82,29,53,3946,100.3,104.2,-3.8,53.6,1.27,15.3,30,66,48,16,48,52,94,47,"7,699",
Portland Trail Blazers,82,41,41,3996,102.1,103.5,-1.5,61,1.46,17.2,34.4,67,51,17,48,52,88,49,"7,289",
Sacramento Kings,82,55,27,3956,108.6,103.2,5.4,69.4,1.89,19.6,29.2,67.6,49,15,51,55,94,54,"7,765",
San Antonio Spurs,82,57,25,3951,101,93.1,7.9,59,1.39,16.3,31.9,71,51.6,16,47,51,90,57,"7,428",
Seattle SuperSonics,82,37,45,3961,105.6,106.4,-0.8,60.6,1.5,17.1,30.2,65.5,47.9,15.8,50,54,91,49,"7,542",
Toronto Raptors,82,33,49,3996,95.3,98.8,-3.4,59.3,1.35,15.9,27,67.3,47.1,15.9,45.4,50,88,48,"7,348",
Utah Jazz,82,42,40,3956,100,101.3,-1.3,62.1,1.22,16.3,37.3,69.1,52.9,18.8,45.6,50.9,88,49,"7,271",
Washington Wizards,82,25,57,3966,97.2,102.9,-5.7,55.7,1.07,14.5,33.3,66.7,49.6,18.6,45.4,50,93.9,44,"7,751",
