TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,
Atlanta Hawks,82,13,69,"3,971",99,109,-10.2,55,1.22,15,33,70,50.2,17,46,50.4,93,42,"7,695",
Boston Celtics,82,45,37,"3,976",105.9,105,0.8,59,1,17,30.5,67,49,17,50,55,95,51,"7,839",
Charlotte Bobcats,82,18,64,3976,99.8,106,-6.2,61,2,17,32.7,68,49,15,45.5,50,94,46,"7,743",
Chicago Bulls,82,47,35,"3,966",101,99,1.4,61,1.27,16,32,69,50.6,18,47.1,51.7,93,50,"7,707",
Cleveland Cavaliers,82,42,40,3971,105.3,104.7,0.6,62,1.62,17,35.4,67,51,15,47,51.8,91,51,"7,516",
Dallas Mavericks,82,58,24,"3,946",109,103,6,53,1.46,15,31.9,67,50,14,49,54.5,94,54,"7,749",
Denver Nuggets,82,49,33,3951,104.7,102.6,2.2,64.5,1.6,18,31.3,68,50,16,48.3,54,95,53,"7,792",
Detroit Pistons,82,54,28,"3,991",104,100,4,63,2,17,34,69,51.8,15,47,51.9,89,54.2,"7,364",
Golden State Warriors,82,34,48,3981,103.4,105.5,-2.2,59.8,1.63,16.6,30.3,67,48,14,48,51,94,47,"7,830",
Houston Rockets,82,51,31,3971,104.4,100.1,4.3,60.9,1.53,16.9,30.1,71.3,51.2,15,48.6,53,90,53,"7,467",
Indiana Pacers,82,44,38,"3,981",104,103,1,56,1,15,30,69,49,16,48,53.4,89,50.4,"7,351",
Los Angeles Clippers,82,37,45,4006,103.8,104.5,-0.8,65,1.47,17.9,33.8,68.7,51.8,17.1,47.7,53,91,52,"7,564",
Los Angeles Lakers,82,34,48,"3,956",106,110,-3,58,1,16,32,68,50,16,49,53.5,92,46.8,"7,610",
Memphis Grizzlies,82,45,37,3941,104.2,101.5,2.7,61.2,1.43,16.9,30.8,66.3,48.7,16.3,48.9,53.5,90,52,"7,355",
Miami Heat,82,59,23,3996,109,102,7,58,2,17,30,70,51,15,52,56,92,55.6,"7,647",
Milwaukee Bucks,82,30,52,3956,105.1,108.1,-3,58,1.52,16.4,32.2,68.7,50.3,14.9,47.5,52.7,92.14,47.8,"7,584",
Minnesota Timberwolves,82,44,38,3951,106.6,105,2,63,2,18,32,68,51,15,49,53,90,52,"7,440",
New Jersey Nets,82,42,40,3981,99.9,101.6,-2,64,2,17,30,70,50,16,46,51,90,49,"7,501",
New Orleans Hornets,82,18,64,3986,98.2,105.9,-7.7,63,1,17,33,68,49,17,45,49,89,44,"7,382",
New York Knicks,82,33,49,3976,104.5,107.2,-2.7,55.9,1.38,16,32,69,50,16,49,53,92,48,"7,634",
Orlando Magic,82,36,46,3941,103.4,105.7,-2.3,52.2,1.2,15,33,68,51,17,48,53,96,49,"7,891",
Philadelphia 76ers,82,43,39,3971,101.8,102.5,-0.7,58,1.34,15.9,28.1,70,49,16,48,53,97,49,"7,985",
Phoenix Suns,82,62,20,3956,112.7,105.7,7,57.5,1.71,17.4,30.4,66,49,14,53,57,97,55,"8,034",
Portland Trail Blazers,82,27,55,3946,101.9,106.1,-4.3,59.5,1.32,16.6,33.1,65,50,18,48,52,91,48,"7,481",
Sacramento Kings,82,50,32,3971,108.8,106.5,2.3,62.6,1.87,18.2,31.5,66.7,49.1,14,50,54,95,52,"7,819",
San Antonio Spurs,82,59,23,3961,106.1,97.8,8.3,60.6,1.57,17.1,32.1,69.7,51,15.1,49,53,90,57,"7,435",
Seattle SuperSonics,82,52,30,3951,110.3,108,2.3,51.6,1.34,14.7,35.7,68.1,51.7,15.1,49.5,55,89,50,"7,353",
Toronto Raptors,82,33,49,3961,105.4,107.2,-1.8,56.6,1.54,16,26.9,68.2,47.3,14,49.2,53.9,94,48,"7,762",
Utah Jazz,82,26,56,3956,102.9,107.3,-4.4,64.6,1.41,17.4,35.1,69.5,51.8,17.4,46.9,52.2,90.02,48,"7,409",
Washington Wizards,82,45,37,3956,105.4,105.9,-0.4,52.7,1.33,14.6,33.8,66.7,49.7,15,47.4,52.3,94.8,48.5,"7,816",
